Configuration,Accuracy
"[80, 20, 10, 0.8]",0.2469
"[80, 20, 10, 0.9]",0.101
"[80, 30, 0, 0.1]",0.1135
"[80, 30, 0, 0.2]",0.1135
"[80, 30, 0, 0.30000000000000004]",0.1135
"[80, 30, 0, 0.4]",0.101
"[80, 30, 0, 0.5]",0.101
"[80, 30, 0, 0.6]",0.101
"[80, 30, 0, 0.7000000000000001]",0.101
"[80, 30, 0, 0.8]",0.101
"[80, 30, 0, 0.9]",0.101
"[80, 30, 10, 0.1]",0.7642
"[80, 30, 10, 0.2]",0.3344
"[80, 30, 10, 0.30000000000000004]",0.337
"[80, 30, 10, 0.4]",0.098
"[80, 30, 10, 0.5]",0.3019
"[80, 30, 10, 0.6]",0.2033
"[80, 30, 10, 0.7000000000000001]",0.2913
"[80, 30, 10, 0.8]",0.1787
"[80, 30, 10, 0.9]",0.1158
"[80, 40, 0, 0.1]",0.1135
"[80, 40, 0, 0.2]",0.1135
"[80, 40, 0, 0.30000000000000004]",0.1135
"[80, 40, 0, 0.4]",0.101
"[80, 40, 0, 0.5]",0.101
"[80, 40, 0, 0.6]",0.101
"[80, 40, 0, 0.7000000000000001]",0.101
"[80, 40, 0, 0.8]",0.101
"[80, 40, 0, 0.9]",0.101
"[80, 40, 10, 0.1]",0.7186
"[80, 40, 10, 0.2]",0.5504
"[80, 40, 10, 0.30000000000000004]",0.2674
"[80, 40, 10, 0.4]",0.2375
"[80, 40, 10, 0.5]",0.2975
"[80, 40, 10, 0.6]",0.3458
"[80, 40, 10, 0.7000000000000001]",0.2002
"[80, 40, 10, 0.8]",0.1691
"[80, 40, 10, 0.9]",0.1032
