Configuration,Accuracy,Train Error
"[115, 10, 10, 0.51]",0.139,0.13306
"[115, 10, 10, 0.6100000000000001]",0.1177,0.12102
"[115, 10, 10, 0.7100000000000001]",0.101,0.10206
"[115, 10, 10, 0.81]",0.2044,0.2027
"[115, 10, 10, 0.91]",0.101,0.10202
"[115, 30, 10, 0.01]",0.7606,0.76494
"[115, 30, 10, 0.11]",0.6664,0.66968
"[115, 30, 10, 0.21000000000000002]",0.1288,0.1279
"[115, 30, 10, 0.31000000000000005]",0.463,0.45346
"[115, 30, 10, 0.41000000000000003]",0.2215,0.2295
"[115, 30, 10, 0.51]",0.0982,0.09718
"[115, 30, 10, 0.6100000000000001]",0.1227,0.12316
"[115, 30, 10, 0.7100000000000001]",0.213,0.21338
"[115, 30, 10, 0.81]",0.101,0.10204
"[115, 30, 10, 0.91]",0.1016,0.10272
"[115, 50, 10, 0.01]",0.7723,0.77274
"[115, 50, 10, 0.11]",0.4168,0.42478
"[115, 50, 10, 0.21000000000000002]",0.1734,0.17186
"[115, 50, 10, 0.31000000000000005]",0.3156,0.30842
"[115, 50, 10, 0.41000000000000003]",0.2327,0.22868
"[115, 50, 10, 0.51]",0.1886,0.18554
"[115, 50, 10, 0.6100000000000001]",0.1983,0.19788
"[115, 50, 10, 0.7100000000000001]",0.101,0.10202
"[115, 50, 10, 0.81]",0.305,0.29518
"[115, 50, 10, 0.91]",0.098,0.0987
