Model,Accuracy,Precision,Recall,F1,ROC_AUC,Train Error,Test Error,C,kernel,degree,gamma
"SVC(C=0.001, degree=4, gamma=0.001, kernel='poly', probability=True)",0.9292035398230089,0.9473684210526315,0.8571428571428571,0.9,0.9798792756539236,Train error: 0.13656387665198233,Test error: 0.07079646017699115,0.001,poly,4,0.001
"SVC(C=0.001, degree=4, gamma=0.01, kernel='poly', probability=True)",0.9469026548672567,1.0,0.8571428571428571,0.923076923076923,0.943326626425218,Train error: 0.037444933920704804,Test error: 0.053097345132743334,0.001,poly,4,0.01
"SVC(C=0.001, degree=4, gamma=0.1, kernel='poly', probability=True)",0.9292035398230089,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.9238765928906774,Train error: 0.0022026431718061845,Test error: 0.07079646017699115,0.001,poly,4,0.1
"SVC(C=0.001, degree=4, gamma=1.0, kernel='poly', probability=True)",0.9292035398230089,0.8695652173913043,0.9523809523809523,0.909090909090909,0.9698189134808852,Train error: 0.0022026431718061845,Test error: 0.07079646017699115,0.001,poly,4,1.0
"SVC(C=0.001, degree=4, gamma=10.0, kernel='poly', probability=True)",0.9292035398230089,0.8695652173913043,0.9523809523809523,0.909090909090909,0.9701542588866532,Train error: 0.0,Test error: 0.07079646017699115,0.001,poly,4,10.0
"SVC(C=0.001, degree=4, gamma=100.0, kernel='poly', probability=True)",0.9380530973451328,0.8888888888888888,0.9523809523809523,0.9195402298850575,0.9704896042924211,Train error: 0.0,Test error: 0.06194690265486724,0.001,poly,4,100.0
"SVC(C=0.001, degree=5, gamma=0.001, kernel='poly', probability=True)",0.9380530973451328,0.9487179487179487,0.8809523809523809,0.9135802469135802,0.040241448692152904,Train error: 0.12555066079295152,Test error: 0.06194690265486724,0.001,poly,5,0.001
"SVC(C=0.001, degree=5, gamma=0.01, kernel='poly', probability=True)",0.9469026548672567,1.0,0.8571428571428571,0.923076923076923,0.09624413145539906,Train error: 0.01541850220264318,Test error: 0.053097345132743334,0.001,poly,5,0.01
"SVC(C=0.001, degree=5, gamma=0.1, kernel='poly', probability=True)",0.9380530973451328,0.8888888888888888,0.9523809523809523,0.9195402298850575,0.9627766599597585,Train error: 0.0,Test error: 0.06194690265486724,0.001,poly,5,0.1
"SVC(C=0.001, degree=5, gamma=1.0, kernel='poly', probability=True)",0.9469026548672567,0.9090909090909091,0.9523809523809523,0.9302325581395349,0.959758551307847,Train error: 0.0,Test error: 0.053097345132743334,0.001,poly,5,1.0
"SVC(C=0.001, degree=5, gamma=10.0, kernel='poly', probability=True)",0.9380530973451328,0.8888888888888888,0.9523809523809523,0.9195402298850575,0.9678068410462776,Train error: 0.0,Test error: 0.06194690265486724,0.001,poly,5,10.0
"SVC(C=0.001, degree=5, gamma=100.0, kernel='poly', probability=True)",0.9469026548672567,0.9090909090909091,0.9523809523809523,0.9302325581395349,0.9721663313212607,Train error: 0.0,Test error: 0.053097345132743334,0.001,poly,5,100.0
"SVC(C=0.001, degree=1, gamma=0.001, kernel='sigmoid', probability=True)",0.6283185840707964,0.0,0.0,0.0,0.9832327297116028,Train error: 0.3722466960352423,Test error: 0.37168141592920356,0.001,sigmoid,1,0.001
"SVC(C=0.001, degree=1, gamma=0.01, kernel='sigmoid', probability=True)",0.6283185840707964,0.0,0.0,0.0,0.9845741113346747,Train error: 0.3722466960352423,Test error: 0.37168141592920356,0.001,sigmoid,1,0.01
"SVC(C=0.001, degree=1, gamma=0.1, kernel='sigmoid', probability=True)",0.6283185840707964,0.0,0.0,0.0,0.5,Train error: 0.3722466960352423,Test error: 0.37168141592920356,0.001,sigmoid,1,0.1
"SVC(C=0.001, degree=1, gamma=1.0, kernel='sigmoid', probability=True)",0.6283185840707964,0.0,0.0,0.0,0.5,Train error: 0.3722466960352423,Test error: 0.37168141592920356,0.001,sigmoid,1,1.0
"SVC(C=0.001, degree=1, gamma=10.0, kernel='sigmoid', probability=True)",0.6283185840707964,0.0,0.0,0.0,0.5,Train error: 0.3722466960352423,Test error: 0.37168141592920356,0.001,sigmoid,1,10.0
"SVC(C=0.001, degree=1, gamma=100.0, kernel='sigmoid', probability=True)",0.6283185840707964,0.0,0.0,0.0,0.5,Train error: 0.3722466960352423,Test error: 0.37168141592920356,0.001,sigmoid,1,100.0
"SVC(C=0.001, degree=2, gamma=0.001, kernel='sigmoid', probability=True)",0.6283185840707964,0.0,0.0,0.0,0.9832327297116028,Train error: 0.3722466960352423,Test error: 0.37168141592920356,0.001,sigmoid,2,0.001
"SVC(C=0.001, degree=2, gamma=0.01, kernel='sigmoid', probability=True)",0.6283185840707964,0.0,0.0,0.0,0.9845741113346747,Train error: 0.3722466960352423,Test error: 0.37168141592920356,0.001,sigmoid,2,0.01
"SVC(C=0.001, degree=2, gamma=0.1, kernel='sigmoid', probability=True)",0.6283185840707964,0.0,0.0,0.0,0.5,Train error: 0.3722466960352423,Test error: 0.37168141592920356,0.001,sigmoid,2,0.1
"SVC(C=0.001, degree=2, gamma=1.0, kernel='sigmoid', probability=True)",0.6283185840707964,0.0,0.0,0.0,0.5,Train error: 0.3722466960352423,Test error: 0.37168141592920356,0.001,sigmoid,2,1.0
"SVC(C=0.001, degree=2, gamma=10.0, kernel='sigmoid', probability=True)",0.6283185840707964,0.0,0.0,0.0,0.5,Train error: 0.3722466960352423,Test error: 0.37168141592920356,0.001,sigmoid,2,10.0
"SVC(C=0.001, degree=2, gamma=100.0, kernel='sigmoid', probability=True)",0.6283185840707964,0.0,0.0,0.0,0.5,Train error: 0.3722466960352423,Test error: 0.37168141592920356,0.001,sigmoid,2,100.0
"SVC(C=0.001, gamma=0.001, kernel='sigmoid', probability=True)",0.6283185840707964,0.0,0.0,0.0,0.9832327297116028,Train error: 0.3722466960352423,Test error: 0.37168141592920356,0.001,sigmoid,3,0.001
"SVC(C=0.001, gamma=0.01, kernel='sigmoid', probability=True)",0.6283185840707964,0.0,0.0,0.0,0.9845741113346747,Train error: 0.3722466960352423,Test error: 0.37168141592920356,0.001,sigmoid,3,0.01
"SVC(C=0.001, gamma=0.1, kernel='sigmoid', probability=True)",0.6283185840707964,0.0,0.0,0.0,0.5,Train error: 0.3722466960352423,Test error: 0.37168141592920356,0.001,sigmoid,3,0.1
"SVC(C=0.001, gamma=1.0, kernel='sigmoid', probability=True)",0.6283185840707964,0.0,0.0,0.0,0.5,Train error: 0.3722466960352423,Test error: 0.37168141592920356,0.001,sigmoid,3,1.0
"SVC(C=0.001, gamma=10.0, kernel='sigmoid', probability=True)",0.6283185840707964,0.0,0.0,0.0,0.5,Train error: 0.3722466960352423,Test error: 0.37168141592920356,0.001,sigmoid,3,10.0
"SVC(C=0.001, gamma=100.0, kernel='sigmoid', probability=True)",0.6283185840707964,0.0,0.0,0.0,0.5,Train error: 0.3722466960352423,Test error: 0.37168141592920356,0.001,sigmoid,3,100.0
"SVC(C=0.001, degree=4, gamma=0.001, kernel='sigmoid', probability=True)",0.6283185840707964,0.0,0.0,0.0,0.9832327297116028,Train error: 0.3722466960352423,Test error: 0.37168141592920356,0.001,sigmoid,4,0.001
"SVC(C=0.001, degree=4, gamma=0.01, kernel='sigmoid', probability=True)",0.6283185840707964,0.0,0.0,0.0,0.9845741113346747,Train error: 0.3722466960352423,Test error: 0.37168141592920356,0.001,sigmoid,4,0.01
"SVC(C=0.001, degree=4, gamma=0.1, kernel='sigmoid', probability=True)",0.6283185840707964,0.0,0.0,0.0,0.5,Train error: 0.3722466960352423,Test error: 0.37168141592920356,0.001,sigmoid,4,0.1
"SVC(C=0.001, degree=4, gamma=1.0, kernel='sigmoid', probability=True)",0.6283185840707964,0.0,0.0,0.0,0.5,Train error: 0.3722466960352423,Test error: 0.37168141592920356,0.001,sigmoid,4,1.0
"SVC(C=0.001, degree=4, gamma=10.0, kernel='sigmoid', probability=True)",0.6283185840707964,0.0,0.0,0.0,0.5,Train error: 0.3722466960352423,Test error: 0.37168141592920356,0.001,sigmoid,4,10.0
"SVC(C=0.001, degree=4, gamma=100.0, kernel='sigmoid', probability=True)",0.6283185840707964,0.0,0.0,0.0,0.5,Train error: 0.3722466960352423,Test error: 0.37168141592920356,0.001,sigmoid,4,100.0
"SVC(C=0.001, degree=5, gamma=0.001, kernel='sigmoid', probability=True)",0.6283185840707964,0.0,0.0,0.0,0.9832327297116028,Train error: 0.3722466960352423,Test error: 0.37168141592920356,0.001,sigmoid,5,0.001
"SVC(C=0.001, degree=5, gamma=0.01, kernel='sigmoid', probability=True)",0.6283185840707964,0.0,0.0,0.0,0.9845741113346747,Train error: 0.3722466960352423,Test error: 0.37168141592920356,0.001,sigmoid,5,0.01
"SVC(C=0.001, degree=5, gamma=0.1, kernel='sigmoid', probability=True)",0.6283185840707964,0.0,0.0,0.0,0.5,Train error: 0.3722466960352423,Test error: 0.37168141592920356,0.001,sigmoid,5,0.1
"SVC(C=0.001, degree=5, gamma=1.0, kernel='sigmoid', probability=True)",0.6283185840707964,0.0,0.0,0.0,0.5,Train error: 0.3722466960352423,Test error: 0.37168141592920356,0.001,sigmoid,5,1.0
"SVC(C=0.001, degree=5, gamma=10.0, kernel='sigmoid', probability=True)",0.6283185840707964,0.0,0.0,0.0,0.5,Train error: 0.3722466960352423,Test error: 0.37168141592920356,0.001,sigmoid,5,10.0
"SVC(C=0.001, degree=5, gamma=100.0, kernel='sigmoid', probability=True)",0.6283185840707964,0.0,0.0,0.0,0.5,Train error: 0.3722466960352423,Test error: 0.37168141592920356,0.001,sigmoid,5,100.0
"SVC(C=0.01, degree=1, gamma=0.001, probability=True)",0.8230088495575221,1.0,0.5238095238095238,0.6875000000000001,0.9735077129443327,Train error: 0.22246696035242286,Test error: 0.17699115044247793,0.01,rbf,1,0.001
"SVC(C=0.01, degree=1, gamma=0.01, probability=True)",0.6283185840707964,0.0,0.0,0.0,0.9741784037558685,Train error: 0.3722466960352423,Test error: 0.37168141592920356,0.01,rbf,1,0.01
"SVC(C=0.01, degree=1, gamma=0.1, probability=True)",0.6283185840707964,0.0,0.0,0.0,0.9735077129443326,Train error: 0.3722466960352423,Test error: 0.37168141592920356,0.01,rbf,1,0.1
